timestamp,cluster,warehouses,duration_seconds,git_branch,run_type,metric_value,metric_name
2025-05-19 02:27:45,perf9,16000,7200,origin/main,default_oltp_sink_on,205270,tpmC
2025-05-19 02:27:45,perf9,16000,7200,origin/main,default_oltp_sink_on,78,newOrderLatency90
2025-05-19 04:01:42,perf3,16000,7200,origin/main,default,88,newOrderLatency90
2025-05-19 04:01:42,perf3,16000,7200,origin/main,default,205131,tpmC
2025-05-19 06:05:06,perf9,16000,7200,origin/main,default_oltp_sink_on,205204,tpmC
2025-05-19 06:05:06,perf9,16000,7200,origin/main,default_oltp_sink_on,81,newOrderLatency90
2025-05-19 06:14:14,perf3,12000,1800,origin/main,latency,154177,tpmC
2025-05-19 06:14:14,perf3,12000,1800,origin/main,latency,43,newOrderLatency90
2025-05-19 09:01:33,perf4,12000,1800,origin/main,latency_EnableLocalDBBtreeIndex_false,52,newOrderLatency90
2025-05-19 09:01:33,perf4,12000,1800,origin/main,latency_EnableLocalDBBtreeIndex_false,154061,tpmC
2025-05-19 09:41:04,perf9,16000,7200,origin/main,default_oltp_sink_on,75,newOrderLatency90
2025-05-19 09:41:04,perf9,16000,7200,origin/main,default_oltp_sink_on,205268,tpmC
2025-05-19 09:44:12,perf7,5000,3600,origin/main,default,17,newOrderLatency90
2025-05-19 09:44:12,perf7,5000,3600,origin/main,default,64295,tpmC
2025-05-19 09:48:21,perf2,16000,7200,origin/main,default,184,newOrderLatency90
2025-05-19 09:48:21,perf2,16000,7200,origin/main,default,204943,tpmC
2025-05-19 10:42:02,perf3,16000,7200,origin/stable-25-1,default,77,newOrderLatency90
2025-05-19 10:42:02,perf3,16000,7200,origin/stable-25-1,default,205236,tpmC
2025-05-19 12:01:00,perf2,12000,1800,origin/main,latency,154040,tpmC
2025-05-19 12:01:00,perf2,12000,1800,origin/main,latency,112,newOrderLatency90
2025-05-19 12:07:02,perf7,5000,3600,origin/main,default,64231,tpmC
2025-05-19 12:07:02,perf7,5000,3600,origin/main,default,22,newOrderLatency90
2025-05-19 12:54:39,perf3,12000,1800,origin/stable-25-1,latency,41,newOrderLatency90
2025-05-19 12:54:39,perf3,12000,1800,origin/stable-25-1,latency,154151,tpmC
2025-05-19 14:09:47,perf9,16000,7200,origin/main,default_oltp_sink_on,205236,tpmC
2025-05-19 14:09:47,perf9,16000,7200,origin/main,default_oltp_sink_on,81,newOrderLatency90
2025-05-19 14:26:06,perf7,5000,3600,origin/main,default,64280,tpmC
2025-05-19 14:26:06,perf7,5000,3600,origin/main,default,18,newOrderLatency90
2025-05-19 16:38:39,perf2,16000,7200,origin/main,default,172,newOrderLatency90
2025-05-19 16:38:39,perf2,16000,7200,origin/main,default,205003,tpmC
2025-05-19 16:45:50,perf4,16000,14400,origin/main,default_EnableLocalDBBtreeIndex_false,124,newOrderLatency90
